k,beta_k,se,p,sig
-6,-0.1775526381139061,0.1388317340638555,0.2009304121154285,
-5,-0.10045324144289958,0.11726403131505563,0.391643015801877,
-4,-0.02587161577975894,0.09877172319763221,0.7933727693476548,
-3,0.012893116625007917,0.054455279383851606,0.812838928849845,
-2,-0.023358597339271148,0.03482507300688221,0.5023856662716273,
0,0.13807421457035174,0.03187903390325091,1.483043327642106e-05,***
1,0.32758754273104196,0.02025770585894309,8.076476249744461e-59,***
2,0.4159575286524977,0.017399850587281128,2.664940702251625e-126,***
3,0.3746829982989699,0.03761228906235364,2.2415633603573595e-23,***
4,0.36160477093809895,0.035553480635653716,2.6789959357353908e-24,***
5,0.2560157385056979,0.042239895813475536,1.3528320977151956e-09,***
6,0.1741488018854216,0.0454118187470753,0.0001256264406996519,***
7,0.14897637250559145,0.02419700210428458,7.42242661371241e-10,***
8,0.1972470330397902,0.03425792139538642,8.52647828896075e-09,***
9,0.23111575994861186,0.04528027287893511,3.3234458396079e-07,***
10,0.2641170316247665,0.036900131290866355,8.209112105689588e-13,***
11,0.27976999510864675,0.01860826047408995,4.348800017763265e-51,***
12,0.3733618996547907,0.022493536818117506,7.12995325543164e-62,***
