k,beta_k,se,p,sig
-6,-0.006863619488624653,0.13407881813754297,0.9591733786179545,
-5,0.04695280796052372,0.10126460926584975,0.6428881100742005,
-4,0.10672282926030592,0.039910247117700366,0.00749366134109573,***
-3,0.08932476318424244,0.012990023266615029,6.137844585451213e-12,***
-2,-0.05303025545245245,0.05038217744693521,0.29254278204472817,
0,0.11181445583371427,0.06777107901558017,0.09896655240714927,*
1,0.30629741298927865,0.034253220396688905,3.816732482013276e-19,***
2,0.39618723543668455,0.024571264592270072,1.7301849524774884e-58,***
3,0.32841136027891366,0.030713715678847557,1.101636973620577e-26,***
4,0.33573292028517643,0.07962535457001776,2.48225339964771e-05,***
5,0.21140504929979284,0.07082619278314277,0.002837241221921239,***
6,0.1369223823898466,0.09678259283965754,0.15714420538920273,
7,0.12099509435584656,0.03208844701077019,0.00016280680233553337,***
8,0.22680476742394576,0.07092182801288505,0.001384061950434418,***
9,0.22937193281853105,0.10909761355541517,0.03551415178680426,**
10,0.2549194365534177,0.08421550784228479,0.0024700274599684835,***
11,0.26033656287833556,0.01720803889789688,1.0462354242282294e-51,***
12,0.36174234180979303,0.05397890196253128,2.062194482817837e-11,***
