platform,state,start_date,end_date,source
FanDuel,AZ,2021-09-09,,"Arizona online sports betting launched 2021-09-09 (multi-operator); FanDuel among launch operators"
FanDuel,CO,2020-05-01,,"Colorado online sports betting launched 2020-05-01 (multi-operator); FanDuel among launch operators"
FanDuel,CT,2021-10-19,,"FanDuel Sportsbook launched in CT 2021-10-19 via Mohegan Tribe partnership (legalsportsreport.com/sports-betting/states/connecticut/)"
FanDuel,AR,,,"Not licensed in Arkansas during the 2019-2024 study window; FanDuel/DraftKings vendor licenses approved 2026-02-26 (next.io), after the study window"
FanDuel,DE,,,"Not licensed in Delaware at any point in the study window; DE sports betting is a single-operator state lottery market (888/William Hill through 2023, BetRivers from 2024-01-03)"
DraftKings,AZ,2021-09-09,,"Arizona online sports betting launched 2021-09-09 (multi-operator); DraftKings among launch operators"
DraftKings,CO,2020-05-01,,"Colorado online sports betting launched 2020-05-01 (multi-operator); DraftKings among launch operators"
DraftKings,CT,2021-10-19,,"DraftKings Sportsbook launched in CT 2021-10-19 via Mashantucket Pequot Tribal Nation partnership (legalsportsreport.com/sports-betting/states/connecticut/)"
DraftKings,AR,,,"Not licensed in Arkansas during the 2019-2024 study window; vendor license approved 2026-02-26, after the study window"
DraftKings,DE,,,"Not licensed in Delaware at any point in the study window (single-operator lottery market)"
BetMGM,AZ,2021-09-09,,"Standard multi-operator AZ launch operator; general market knowledge, not independently re-verified with a dated press release this session"
BetMGM,CO,2020-05-01,,"Standard multi-operator CO launch operator; general market knowledge, not independently re-verified with a dated press release this session"
BetMGM,CT,,,"Not licensed in Connecticut; CT market is capped at exactly 3 online skins, held by FanDuel, DraftKings, and the CT Lottery's third-party partner (SugarHouse through 2023, Fanatics from Dec 2023)"
BetMGM,AR,,,"Not licensed in Arkansas during the study window"
BetMGM,DE,,,"Not licensed in Delaware at any point in the study window"
Caesars Sportsbook,AZ,2021-09-09,,"Caesars Sportsbook launched in Arizona September 2021 with Arizona Diamondbacks partnership (ats.io/sportsbooks/caesars-sportsbook/legal-states/)"
Caesars Sportsbook,CO,2020-09-01,,"Caesars Sportsbook became available in Colorado September 2020 via Horseshoe Black Hawk Casino Hotel partnership (ats.io/sportsbooks/caesars-sportsbook/legal-states/)"
Caesars Sportsbook,CT,,,"Not licensed in Connecticut; CT market capped at 3 online skins (FanDuel, DraftKings, CT Lottery partner)"
Caesars Sportsbook,AR,,,"Not licensed in Arkansas during the study window"
Caesars Sportsbook,DE,,,"Not licensed in Delaware at any point in the study window"
WynnBET,AZ,2021-09-09,2023-08-14,"WynnBET operated in Arizona from the state's 2021 multi-operator launch and exited as part of an 8-state consolidation reported 2023-08-14 (SportsPro, sportspro.com/news/wynnbet-sports-betting-us-states-sportsbooks)"
WynnBET,CO,2020-05-01,2023-08-14,"WynnBET operated in Colorado and exited as part of the same 2023-08-14 8-state consolidation (SportsPro)"
WynnBET,CT,,,"Not licensed in Connecticut; CT market capped at 3 online skins"
WynnBET,AR,,,"Not licensed in Arkansas during the study window"
WynnBET,DE,,,"Not licensed in Delaware at any point in the study window"
