event_id,athlete,platform,timed_to_major_event,state,state_event,month,k,handle,log_handle
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2020-06-01,-6,38136949,17.456694160180636
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2020-07-01,-5,59183620,17.89615537237953
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2020-08-01,-4,128646209,18.672576628710242
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2020-09-01,-3,207655943,19.151393147905985
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2020-10-01,-2,210719821,19.166039946490397
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2020-11-01,-1,231238842,19.25896168238189
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2020-12-01,0,284551472,19.46642471608033
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2021-01-01,1,326903462,19.605175462032978
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2021-02-01,2,266549207,19.401069426177035
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2021-03-01,3,300990842,19.522590397001125
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2021-04-01,4,244446760,19.31450809265687
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2021-05-01,5,248968193,19.332835707313844
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2021-06-01,6,229764688,19.2525662475157
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2021-07-01,7,181327995,19.015818076380526
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2021-08-01,8,211918185,19.17171083833875
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2021-09-01,9,408314625,19.827548574898863
Charles Barkley x FanDuel (2020-12),Charles Barkley,FanDuel,False,CO,CO__Charles Barkley x FanDuel (2020-12),2021-10-01,10,491453342,20.01287756323866
