state,month,handle,revenue,hold_rate
AZ,2021-09,291212868,32308342,0.111
AZ,2021-10,486097352,37510371,0.077
AZ,2021-11,466725687,51416143,0.110
AZ,2021-12,499213733,39822928,0.080
AZ,2022-01,563694591,41890200,0.074
AZ,2022-02,491665554,25629835,0.052
AZ,2022-03,690979294,38898393,0.056
AZ,2022-04,512877848,30441992,0.059
AZ,2022-05,461450688,56193286,0.122
AZ,2022-06,318774198,12601356,0.040
AZ,2022-07,290511533,22684581,0.078
AZ,2022-08,361008835,37161759,0.103
AZ,2022-09,537966149,56428816,0.105
AZ,2022-10,618570296,49392417,0.080
AZ,2022-11,616855045,56028195,0.091
AZ,2022-12,572490899,55581725,0.097
AZ,2023-01,591220794,47486817,0.080
AZ,2023-02,609278096,35412452,0.058
AZ,2023-03,644763991,53523947,0.083
AZ,2023-04,535712027,49163323,0.092
AZ,2023-05,451717025,49458507,0.109
AZ,2023-06,393198858,28331608,0.072
AZ,2023-07,323211485,35343495,0.109
AZ,2023-08,358875474,31681151,0.088
AZ,2023-09,610716285,60115066,0.098
AZ,2023-10,648208573,56868981,0.088
AZ,2023-11,713586704,42333282,0.059
AZ,2023-12,693310960,67697686,0.098
AZ,2024-01,706382861,70943718,0.100
AZ,2024-02,637485879,54329589,0.085
AZ,2024-03,759807633,59289055,0.078
AZ,2024-04,656322666,64489906,0.098
AZ,2024-05,568493315,62444214,0.110
AZ,2024-06,454116117,47269458,0.104
AZ,2024-07,410140440,42514638,0.104
AZ,2024-08,496602562,37071285,0.075
AZ,2024-09,732099544,76364871,0.104
AZ,2024-10,791243694,55622010,0.070
AZ,2024-11,897635847,86285876,0.096
AZ,2024-12,849316636,51089325,0.060
AR,2019-07,416160,76885,0.185
AR,2019-08,778249,58858,0.076
AR,2019-09,2252196,183044,0.081
AR,2019-10,2216369,380006,0.171
AR,2019-11,2978235,181497,0.061
AR,2019-12,2633806,455368,0.173
AR,2020-01,2587732,254811,0.098
AR,2020-02,4294366,411589,0.096
AR,2020-03,1588403,222373,0.140
AR,2020-04,0,0,
AR,2020-05,509,-115,-0.226
AR,2020-06,1189,10,0.008
AR,2020-07,179315,-19633,-0.109
AR,2020-08,1008992,69625,0.069
AR,2020-09,3958748,397095,0.100
AR,2020-10,6559859,940513,0.143
AR,2020-11,6288249,975984,0.155
AR,2020-12,6415446,1054273,0.164
AR,2021-01,7187194,1383240,0.192
AR,2021-02,4469442,651239,0.146
AR,2021-03,5947427,805182,0.135
AR,2021-04,4065703,756328,0.186
AR,2021-05,3687207,506142,0.137
AR,2021-06,3895683,382940,0.098
AR,2021-07,2908833,449040,0.154
AR,2021-08,2892285,310481,0.107
AR,2021-09,7007774,809404,0.116
AR,2021-10,9506183,803567,0.085
AR,2021-11,8380191,1623434,0.194
AR,2021-12,7794292,130305,0.017
AR,2022-01,8775932,1181335,0.135
AR,2022-02,5876444,359103,0.061
AR,2022-03,10686501,791867,0.074
AR,2022-04,8598226,749810,0.087
AR,2022-05,10185647,615576,0.060
AR,2022-06,12632207,4045,0.000
AR,2022-07,9290467,854436,0.092
AR,2022-08,10195911,1015339,0.100
AR,2022-09,21185547,3208032,0.151
AR,2022-10,26879107,2793719,0.104
AR,2022-11,30576009,2999450,0.098
AR,2022-12,30936485,3409972,0.110
AR,2023-01,32976264,2868244,0.087
AR,2023-02,29532263,1709714,0.058
AR,2023-03,37474412,4264047,0.114
AR,2023-04,25452659,2336023,0.092
AR,2023-05,22777209,2293281,0.101
AR,2023-06,22708945,1334973,0.059
AR,2023-07,17577626,2077422,0.118
AR,2023-08,22553214,1673538,0.074
AR,2023-09,41002257,3992930,0.097
AR,2023-10,44986803,5825161,0.129
AR,2023-11,54770449,3018845,0.055
AR,2023-12,52952226,5762757,0.109
AR,2024-01,50698701,5855921,0.116
AR,2024-02,40947811,2672209,0.065
AR,2024-03,50031696,3406749,0.068
AR,2024-04,41763742,3788712,0.091
AR,2024-05,39823867,3556977,0.089
AR,2024-06,31416492,3227769,0.103
AR,2024-07,25464080,2677225,0.105
AR,2024-08,32207497,1941927,0.060
AR,2024-09,53056638,6918341,0.130
AR,2024-10,60435368,3150162,0.052
AR,2024-11,66058203,9201130,0.139
AR,2024-12,65930594,2008583,0.030
CO,2020-05,25621762,2565729,0.100
CO,2020-06,38136949,3484015,0.091
CO,2020-07,59183620,5196599,0.088
CO,2020-08,128646209,7519599,0.058
CO,2020-09,207655943,4166334,0.020
CO,2020-10,210719821,17402409,0.083
CO,2020-11,231238842,18354655,0.079
CO,2020-12,284551472,17151867,0.060
CO,2021-01,326903462,23144535,0.071
CO,2021-02,266549207,10444810,0.039
CO,2021-03,300990842,20365119,0.068
CO,2021-04,244446760,17563939,0.072
CO,2021-05,248968193,15129108,0.061
CO,2021-06,229764688,19730957,0.086
CO,2021-07,181327995,15652461,0.086
CO,2021-08,211918185,15228343,0.072
CO,2021-09,408314625,22658630,0.055
CO,2021-10,491453342,28616708,0.058
CO,2021-11,475441229,36781848,0.077
CO,2021-12,461448574,24732487,0.054
CO,2022-01,573720213,34640219,0.060
CO,2022-02,440508421,19604490,0.045
CO,2022-03,505611080,28238194,0.056
CO,2022-04,392311737,22571887,0.058
CO,2022-05,360325438,27119329,0.075
CO,2022-06,313215081,6781092,0.022
CO,2022-07,258414808,20802881,0.081
CO,2022-08,290107970,25859270,0.089
CO,2022-09,450232597,51339659,0.114
CO,2022-10,526619777,36514974,0.069
CO,2022-11,552603013,37569022,0.068
CO,2022-12,518088768,40909238,0.079
CO,2023-01,547189025,35482562,0.065
CO,2023-02,425142877,22599602,0.053
CO,2023-03,494440210,45935669,0.093
CO,2023-04,417814147,35148592,0.084
CO,2023-05,385242136,31406903,0.082
CO,2023-06,310656478,9223661,0.030
CO,2023-07,281110490,24962106,0.089
CO,2023-08,306065791,25873058,0.085
CO,2023-09,512792794,45276517,0.088
CO,2023-10,554859801,46914492,0.085
CO,2023-11,608488266,28585606,0.047
CO,2023-12,716430270,40537499,0.057
CO,2024-01,596685968,53490323,0.090
CO,2024-02,536988261,25762378,0.048
CO,2024-03,593094977,45041776,0.076
CO,2024-04,509508228,32028036,0.063
CO,2024-05,447561934,44991355,0.101
CO,2024-06,350425610,28196297,0.080
CO,2024-07,320396841,32548659,0.102
CO,2024-08,372378664,33202184,0.089
CO,2024-09,562923090,55092144,0.098
CO,2024-10,601222031,39328305,0.065
CO,2024-11,647951807,55666475,0.086
CO,2024-12,648426634,29828799,0.046
CT,2021-10,54641474,5567547,0.102
CT,2021-11,131729179,17456823,0.133
CT,2021-12,150073755,10242899,0.068
CT,2022-01,158092481,11891808,0.075
CT,2022-02,115619953,5844220,0.051
CT,2022-03,140747137,11511388,0.082
CT,2022-04,116465199,10353842,0.089
CT,2022-05,115180155,10308064,0.089
CT,2022-06,95421852,7142610,0.075
CT,2022-07,78316775,8611816,0.110
CT,2022-08,80037045,10882317,0.136
CT,2022-09,130547719,17608762,0.135
CT,2022-10,164170106,17012667,0.104
CT,2022-11,165026282,17869847,0.108
CT,2022-12,160266050,16268906,0.102
CT,2023-01,167673044,19610098,0.117
CT,2023-02,136508300,11626147,0.085
CT,2023-03,159997579,17029646,0.106
CT,2023-04,126683869,13610074,0.107
CT,2023-05,109421369,15271178,0.140
CT,2023-06,91414677,9752058,0.107
CT,2023-07,91512897,11126316,0.122
CT,2023-08,91316807,9797155,0.107
CT,2023-09,180954956,18900892,0.104
CT,2023-10,189626160,19849187,0.105
CT,2023-11,205736989,12862839,0.063
CT,2023-12,212171045,22813764,0.108
CT,2024-01,202752249,25570170,0.126
CT,2024-02,162841632,14820348,0.091
CT,2024-03,187815980,16981438,0.090
CT,2024-04,154109876,19105482,0.124
CT,2024-05,163648829,17941322,0.110
CT,2024-06,148557056,15626345,0.105
CT,2024-07,121808571,15853217,0.130
CT,2024-08,129150001,14514077,0.112
CT,2024-09,214394512,27018896,0.126
CT,2024-10,229151493,19101389,0.083
CT,2024-11,228155465,30693791,0.135
CT,2024-12,243670782,14773557,0.061
DE,2019-01,14130069,2687370,0.190
DE,2019-02,8709205,-616941,-0.071
DE,2019-03,10483128,1879045,0.179
DE,2019-04,6088183,703739,0.116
DE,2019-05,5920766,464335,0.078
DE,2019-06,6325464,533377,0.084
DE,2019-07,3920974,579897,0.148
DE,2019-08,4745747,586057,0.123
DE,2019-09,18781406,5979895,0.318
DE,2019-10,16066023,4640776,0.289
DE,2019-11,16850854,4235148,0.251
DE,2019-12,20466561,4174862,0.204
DE,2020-01,11187011,2527312,0.226
DE,2020-02,7279650,-410665,-0.056
DE,2020-03,3877068,653127,0.168
DE,2020-04,0,0,
DE,2020-05,0,0,
DE,2020-06,0,0,
DE,2020-07,209282,13845,0.066
DE,2020-08,2957634,419561,0.142
DE,2020-09,12439302,2803022,0.225
DE,2020-10,17086034,4945186,0.289
DE,2020-11,19510093,8162861,0.418
DE,2020-12,15696681,4408081,0.281
DE,2021-01,15649254,3288405,0.210
DE,2021-02,7519710,679021,0.090
DE,2021-03,6666115,1104859,0.166
DE,2021-04,5470520,1023199,0.187
DE,2021-05,7060911,775611,0.110
DE,2021-06,5958137,737984,0.124
DE,2021-07,4110581,724765,0.176
DE,2021-08,5251471,541621,0.103
DE,2021-09,13702755,4420661,0.323
DE,2021-10,22238321,4635199,0.208
DE,2021-11,13383727,6226325,0.465
DE,2021-12,12638955,-972383,-0.077
DE,2022-01,12637103,2716347,0.215
DE,2022-02,5436407,74297,0.014
DE,2022-03,5157583,631099,0.122
DE,2022-04,4200298,358171,0.085
DE,2022-05,5127275,565508,0.110
DE,2022-06,3507846,242316,0.069
DE,2022-07,2678686,438069,0.164
DE,2022-08,2902652,399945,0.138
DE,2022-09,8908981,2915961,0.327
DE,2022-10,13545163,2597717,0.192
DE,2022-11,10172819,1622874,0.160
DE,2022-12,8157580,1428195,0.175
DE,2023-01,8457660,1714167,0.203
DE,2023-02,4120957,347890,0.084
DE,2023-03,3491183,622285,0.178
DE,2023-04,3450142,757951,0.220
DE,2023-05,2760829,276116,0.100
DE,2023-06,3128258,80201,0.026
DE,2023-07,2256345,311152,0.138
DE,2023-08,2400532,340209,0.142
DE,2023-09,7633259,991828,0.130
DE,2023-10,10663362,2706248,0.254
DE,2023-11,8126283,600906,0.074
DE,2023-12,8837999,2147792,0.243
DE,2024-01,17085199,1957473,0.115
DE,2024-02,13763241,659017,0.048
DE,2024-03,18935525,1168825,0.062
DE,2024-04,15522996,1147601,0.074
DE,2024-05,15107592,1201087,0.080
DE,2024-06,13058698,906777,0.069
DE,2024-07,9927116,1214849,0.122
DE,2024-08,10259279,797507,0.078
DE,2024-09,23242735,3232416,0.139
DE,2024-10,24502521,1034657,0.042
DE,2024-11,26390185,2935614,0.111
DE,2024-12,28445372,116593,0.004
